source,text
"""قانون سوق رأس المال - (المادة الأولى)""",يعمل بأحكام القانون المرافق في شأن تنظيم سوق رأس المال. وتسري أحكام قانون شركات المساهمة وشركات التوصية بالأسهم والشركات ذات المسئولية المحدودة الصادر بالقانون رقم 159 لسنة 1981 فيما لم يرد به نص خاص في هذا القانون.
"""قانون سوق رأس المال - (المادة الثانية)""",يقصد في تطبيق أحكام القانون المرافق “بالهيئة” أو الجهة الإدارية أينما وردتا في هذا القانون ولائحته التنفيذية أو القانون رقم 159 لسنة 1981 ولائحته التنفيذية “الهيئة العامة لسوق المال”، ويقصد برئيس الهيئة “رئيس مجلس إدارة الهيئة العامة للرقابة المالية” ويقصد بالوزير “وزير الاقتصاد والتجارة الخارجية”.
"""قانون سوق رأس المال - (المادة الثالثة)""",يصدر وزير الاقتصاد والتجارة الخارجية بناء على عرض رئيس مجلس إدارة الهيئة العامة للرقابة المالية اللائحة التنفيذية للقانون المرافق خلال ثلاثة أشهر من تاريخ العمل به. وإلى أن تصدر اللائحة التنفيذية والقرارات المنفذة لهذا القانون يستمر العمل بالأحكام والقواعد والنظم القائمة في تاريخ العمل به فيما لا يتعارض مع أحكامه.
"""قانون سوق رأس المال - (المادة الرابعة)""",دون إخلال بحكم المادة (25) من القانون المرافق، يُلغى القانون رقم 161 لسنة 1957 باللائحة العامة لبورصات الأوراق المالية. ويُلغى كل حكم مخالف لأحكام القانون المرافق.
"""قانون سوق رأس المال - (المادة الخامسة)""",ينشر هذا القانون في الجريدة الرسمية، ويعمل به من اليوم التالي لتاريخ نشره. يبصم هذا القانون بخاتم الدولة، وينفذ كقانون من قوانينها. صدر برئاسة الجمهورية في 21 ذي الحجة سنة 1412 هـ (الموافق 22 يونيو سنة 1992 م).
"""قانون سوق رأس المال - مادة (1)""",يقسم رأس مال شركة المساهمة وحصة الشركاء غير المتضامنين في شركات التوصية بالأسهم إلى أسهم اسمية متساوية القيمة. ويحدد نظام الشركة قيمة السهم الاسمية بحيث لا تقل عن عشرة قروش ولا تزيد على ألف جنيه. ويكون السهم غير قابل للتجزئة. ويجوز إصدار أسهم جديدة عند زيادة رأس المال بقيمة مغايرة لقيمة الأسهم من الإصدارات السابقة، وتكون للأسهم الجديدة ذات حقوق والتزامات أسهم الإصدارات السابقة. وتبين اللائحة التنفيذية ما تتضمنه شهادات الأسهم من بيانات، وكيفية استبدال الشهادات المفقودة أو التالفة وما يتبع بالنسبة لهذه الشهادات عند تعديل نظام الشركة. كما تبين اللائحة التنفيذية الأحكام الخاصة بطرح الأسهم في اكتتاب عام.
"""قانون سوق رأس المال - مادة (2)""",يلتزم كل شخص اعتباري يرغب في إصدار أوراق مالية أن يخطر الهيئة بذلك، فإذا لم تعترض الهيئة خلال سبعة أيام عمل من تاريخ إخطارها يتم السير في إجراءات الإصدار، وتحدد اللائحة التنفيذية لهذا القانون بيانات الإخطار والمستندات التي ترفق به.
"""قانون سوق رأس المال - مادة (3)""",مُلغاة.
"""قانون سوق رأس المال - مادة (4)""",لا يجوز لأي شخص اعتباري مصري أو غير مصري، أيًا كانت طبيعته وأيًا كان النظام القانوني الخاضع له طرح أوراق مالية أو أدوات مالية في اكتتاب عام للجمهور إلا بناءً على نشرة اكتتاب معتمدة من الهيئة، وعلى النماذج التي تعدها الهيئة، ووفقًا للشروط والإجراءات التي تحددها اللائحة التنفيذية لهذا القانون، ويجب نشر ملخص نشرة الاكتتاب أو نشرة الطرح أو تقرير الإفصاح بغرض الطرح وفقًا لوسائل النشر التي يحددها مجلس إدارة الهيئة. ومع عدم الإخلال بحكم الفقرة السابقة، يصدر مجلس إدارة الهيئة الضوابط التي يجب الالتزام بها عند طرح أي أوراق مالية أو أدوات مالية في اكتتاب عام أو طرح عام أو طرح خاص، وذلك بحسب نوع الورقة أو الأداة المالية.
"""قانون سوق رأس المال - مادة (4 مكررًا)""",في تطبيق أحكام هذا القانون والقرارات الصادرة تنفيذًا له، يقصد بالمصطلحات التالية المعنى المبين قرين كل منها: الاكتتاب العام: عرض أوراق أو أدوات مالية على أشخاص طبيعيين أو اعتباريين غير محددين سلفًا عند إصدار هذه الأوراق أو الأدوات. الطرح العام: عرض أوراق أو أدوات مالية مصدرة على أشخاص طبيعيين أو اعتباريين غير محددين سلفًا. الطرح الخاص: عرض أوراق أو أدوات مالية على أشخاص طبيعيين أو اعتباريين تتوافر فيهم شروط معينة سواء عند إصدار هذه الأوراق أو الأدوات أو بعد ذلك. الأدوات المالية: وثائق تغاير الأوراق المالية، وتكون قابلة للقيد والتداول ببورصات الأوراق المالية.
